country,users,sessions,bounce_rate,pages_per_session,avg_session_length
United States,434944680,1202850944,0.5986,1.32,0:02:35
Canada,58957484,160809556,0.5849,1.31,0:02:53
United Kingdom,46435791,103884722,0.6156,1.35,0:02:25
Australia,23587951,58504210,0.6107,1.39,0:02:51
Germany,7542762,16473675,0.5565,1.38,0:03:13
India,6554766,11909065,0.5745,1.39,0:03:39
Sweden,6020045,12776659,0.635,1.26,0:02:03
Netherlands,5966927,12766036,0.6313,1.35,0:02:37
Singapore,4784165,10205746,0.6003000000000001,1.27,0:03:01
Philippines,4777082,9352316,0.6285000000000001,1.39,0:03:47
New Zealand,4649599,11767417,0.6106,1.31,0:03:24
Ireland,4160913,8672405,0.5835,1.36,0:02:14
France,3916570,7032829,0.568,1.36,0:03:45
Norway,3580156,7769399,0.6448999999999999,1.28,0:02:16
Brazil,3477461,5850067,0.4939,1.3,0:03:43
Mexico,3243742,6398953,0.5905,1.36,0:03:48
Denmark,3194165,5945679,0.5914,1.27,0:01:53
Malaysia,2804633,5510111,0.6542,1.34,0:02:42
South Africa,2779844,5913809,0.609,1.32,0:03:39
Spain,2705479,6034209,0.6185,1.42,0:03:13
Italy,2326570,5357840,0.5169,1.5,0:04:56
Belgium,2145969,3916570,0.5740999999999999,1.33,0:02:57
Finland,1852049,3222494,0.5967,1.47,0:03:32
United Arab Emirates,1692695,4422962,0.5925,1.31,0:03:02
Switzerland,1646659,3806793,0.48090000000000005,1.87,0:04:12
Japan,1636036,3959065,0.5975,1.32,0:03:12
(not set),1604165,2383229,0.5498,1.3,0:02:07
Israel,1590000,3714722,0.4852,1.27,0:02:41
Romania,1554588,3084388,0.6223,1.27,0:02:35
Portugal,1497929,2659443,0.6019,1.58,0:03:45
Austria,1373987,2262829,0.6041,1.22,0:01:20
Turkey,1281915,2181381,0.6542,1.23,0:01:24
Greece,1246503,2085768,0.6452,1.32,0:02:21
Hong Kong,1161514,1968909,0.6565000000000001,1.28,0:02:12
Indonesia,1147350,2308864,0.6426000000000001,1.31,0:03:04
Poland,1023408,1749354,0.5445,1.5,0:03:53
Thailand,899465,1505011,0.6259,1.25,0:02:15
South Korea,839265,3782004,0.5094,1.37,0:05:16
Puerto Rico,782606,1462517,0.5981000000000001,1.25,0:02:59
Argentina,779065,1012784,0.4965,1.28,0:04:25
Colombia,690535,1288998,0.5385,1.51,0:05:05
Egypt,683452,1207550,0.6481,1.19,0:03:18
Iceland,676370,2124722,0.6083,1.74,0:03:41
Taiwan,655122,1324410,0.6444,1.27,0:02:39
Czechia,612628,1026949,0.5724,1.24,0:01:54
Hungary,594922,1221715,0.4783,1.22,0:03:23
Croatia,587840,1228797,0.6542,1.36,0:02:20
Saudi Arabia,580757,807394,0.5746,1.27,0:04:47
Pakistan,563051,743653,0.5667,1.45,0:05:40
Trinidad & Tobago,563051,2379688,0.561,1.43,0:04:16
Slovenia,517016,998619,0.5284,1.25,0:02:29
Chile,506392,1186303,0.47759999999999997,1.72,0:05:27
Costa Rica,481604,878218,0.6371,1.38,0:01:52
Kenya,453274,1076526,0.7237,1.35,0:03:04
Bulgaria,449733,722405,0.5637,1.15,0:02:24
Malta,439109,1065902,0.6678000000000001,1.24,0:03:13
Serbia,410780,605546,0.462,1.18,0:05:48
Estonia,378909,633875,0.5418999999999999,1.22,0:02:45
Russia,354120,715323,0.4752,1.3,0:03:39
Peru,350579,810935,0.5153,1.26,0:03:51
Qatar,343497,517016,0.5411,1.25,0:02:11
Vietnam,343497,605546,0.6667000000000001,1.3,0:02:11
Cyprus,325791,541804,0.6667000000000001,1.2,0:02:21
Lebanon,325791,633875,0.6592,1.52,0:02:11
Jamaica,301002,864053,0.5574,1.26,0:03:46
Dominican Republic,297461,591381,0.5928,2.31,0:04:41
Slovakia,279755,442650,0.616,1.22,0:02:02
Venezuela,240802,414321,0.6581,1.39,0:02:42
Jordan,237261,364744,0.5243,1.27,0:01:24
Morocco,237261,339955,0.6979000000000001,1.46,0:03:50
Sri Lanka,233719,499310,0.5177,1.43,0:08:17
Ecuador,230178,467439,0.6439,1.39,0:01:51
Lithuania,230178,354120,0.56,1.25,0:03:09
Bangladesh,216013,322249,0.6703,1.23,0:03:54
China,216013,396615,0.5,1.43,0:03:15
Panama,216013,524098,0.45270000000000005,1.75,0:05:54
Guatemala,212472,283296,0.6625,1.21,0:02:05
Barbados,208931,339955,0.6979000000000001,1.17,0:01:31
Latvia,208931,591381,0.3772,1.35,0:04:38
Kuwait,198307,283296,0.6,1.44,0:02:50
Nigeria,169978,258508,0.589,1.66,0:03:47
Luxembourg,166437,729488,0.42719999999999997,2.41,0:02:59
Ukraine,166437,194766,0.6545000000000001,1.24,0:01:59
Guam,162895,276214,0.8077,1.13,0:00:43
Bahamas,155813,269131,0.6711,1.32,0:02:33
Curaçao,138107,740111,0.5885,1.15,0:13:13
Mauritius,127483,191225,0.46299999999999997,1.37,0:10:15
Bahrain,123942,212472,0.7667,1.47,0:01:22
North Macedonia,123942,269131,0.4474,1.75,0:04:37
Bosnia & Herzegovina,116860,180601,0.4706,1.9,0:04:12
Nepal,116860,180601,0.5882000000000001,1.22,0:04:44
Oman,116860,223096,0.4921,1.67,0:03:41
Bolivia,113318,216013,0.7376999999999999,1.23,0:01:26
Georgia,113318,148731,0.5,1.12,0:01:04
Cambodia,113318,169978,0.5207999999999999,1.31,0:01:38
Ghana,109777,145189,0.7073,1.32,0:02:26
Tunisia,92071,194766,0.6364,1.47,0:06:08
Kosovo,92071,173519,0.7143,1.29,0:01:20
Uganda,84989,155813,0.4318,1.41,0:13:22
Bermuda,77906,109777,0.5806,1.19,0:01:38
Uruguay,77906,99154,0.5357,1.0,0:01:07
Faroe Islands,74365,95612,0.7406999999999999,1.04,0:01:31
Nicaragua,74365,357661,0.4851,1.19,0:01:42
Aruba,70824,141648,0.425,1.15,0:01:59
Cayman Islands,70824,145189,0.7073,1.15,0:01:11
U.S. Virgin Islands,70824,120401,0.6175999999999999,1.32,0:07:51
Afghanistan,67283,95612,0.7406999999999999,1.04,0:02:03
Guernsey,67283,116860,0.5151,1.36,0:02:25
Jersey,67283,99154,0.4643,1.64,0:02:56
Isle of Man,63742,134566,0.6579,1.08,0:00:46
Maldives,60200,88530,0.6,1.6,0:02:04
Brunei,56659,74365,0.5714,1.38,0:02:16
Belize,56659,74365,0.5714,1.19,0:01:43
Algeria,56659,84989,0.625,2.75,0:03:43
Ethiopia,56659,106236,0.7,1.33,0:03:23
Palestine,56659,88530,0.68,1.12,0:00:42
Suriname,56659,99154,0.7143,1.21,0:02:39
Tanzania,56659,74365,0.5714,1.14,0:00:54
Armenia,53118,116860,0.7576,1.09,0:01:46
Iraq,53118,74365,0.7619,1.0,0:00:20
Sint Maarten,53118,201849,0.614,1.23,0:02:10
Zimbabwe,53118,95612,0.7037,1.04,0:10:37
